,negative,positive,alert,sleepy,closed,open
0,76.0,20.0,84.0,12.0,28.0,68.0
1,75.0,26.0,97.0,4.0,25.0,76.0
2,75.0,29.0,96.0,8.0,25.0,79.0
3,70.0,33.0,88.0,15.0,20.0,83.0
4,53.0,42.0,82.0,13.0,24.0,71.0
5,57.0,36.0,84.0,9.0,29.0,64.0
6,70.0,33.0,94.0,9.0,29.0,74.0
7,73.0,30.0,100.0,3.0,23.0,80.0
8,74.0,32.0,88.0,18.0,26.0,80.0
9,81.0,26.0,88.0,19.0,34.0,73.0
10,76.0,28.0,91.0,13.0,23.0,81.0
11,70.0,33.0,88.0,15.0,18.0,85.0
12,75.0,23.0,85.0,13.0,19.0,79.0
13,75.0,29.0,97.0,7.0,29.0,75.0
14,83.0,20.0,86.0,17.0,28.0,75.0
15,76.0,27.0,94.0,9.0,24.0,79.0
16,83.0,21.0,101.0,3.0,19.0,85.0
17,78.0,25.0,93.0,10.0,33.0,70.0
18,65.0,37.0,90.0,12.0,18.0,84.0
19,75.0,23.0,84.0,14.0,22.0,76.0
20,65.0,32.0,83.0,14.0,17.0,80.0
21,55.0,42.0,85.0,12.0,30.0,67.0
22,69.0,31.0,90.0,10.0,31.0,69.0
23,65.0,29.0,85.0,9.0,10.0,84.0
24,74.0,16.0,75.0,15.0,20.0,70.0
25,75.0,14.0,76.0,13.0,25.0,64.0
26,65.0,21.0,72.0,14.0,28.0,58.0
27,77.0,16.0,78.0,15.0,25.0,68.0
28,81.0,13.0,81.0,13.0,26.0,68.0
29,72.0,21.0,82.0,11.0,23.0,70.0
30,69.0,20.0,84.0,5.0,24.0,65.0
31,70.0,22.0,74.0,18.0,11.0,81.0
32,71.0,18.0,76.0,13.0,10.0,79.0
33,54.0,28.0,70.0,12.0,10.0,72.0
34,69.0,18.0,73.0,14.0,22.0,65.0
35,74.0,23.0,88.0,9.0,28.0,69.0
36,73.0,24.0,85.0,12.0,26.0,71.0
37,73.0,24.0,80.0,17.0,16.0,81.0
38,77.0,30.0,92.0,15.0,23.0,84.0
39,82.0,22.0,89.0,15.0,16.0,88.0
40,70.0,37.0,98.0,9.0,16.0,91.0
41,67.0,33.0,94.0,6.0,24.0,76.0
42,68.0,23.0,75.0,16.0,23.0,68.0
43,70.0,15.0,83.0,2.0,24.0,61.0
44,71.0,21.0,88.0,4.0,24.0,68.0
45,72.0,19.0,87.0,4.0,10.0,81.0
46,65.0,25.0,77.0,13.0,14.0,76.0
47,72.0,19.0,82.0,9.0,18.0,73.0
48,76.0,17.0,87.0,6.0,22.0,71.0
49,72.0,19.0,87.0,4.0,20.0,71.0
50,92.0,15.0,92.0,15.0,23.0,84.0
51,98.0,11.0,98.0,11.0,33.0,76.0
52,83.0,21.0,88.0,16.0,29.0,75.0
53,81.0,16.0,79.0,18.0,30.0,67.0
54,87.0,18.0,81.0,24.0,25.0,80.0
55,135.0,25.0,136.0,24.0,44.0,116.0
